epoch;acc;loss;lr;val_acc;val_loss
0;0.7200653120464441;0.5603325123126863;1e-04;0.6462572674418605;1.4160381673380387
1;0.9231222786647315;0.20689878916078625;1e-04;0.9257028112232184;0.2206581102459045
2;0.9415820029027576;0.17432282765021517;1e-04;0.9370208105147865;0.17440230115111094
3;0.9475235849056604;0.15655180961785753;1e-04;0.9379335523913838;0.19044499325573813
4;0.950199564586357;0.15021911289283388;1e-04;0.9275282950199359;0.2225624143957613
5;0.9547804789550073;0.1375949061671691;1e-04;0.9468784227820373;0.18143942226564316
6;0.9556875907111756;0.13650802585887026;1e-04;0.9441401971522454;0.1685596226261301
7;0.9563679245283019;0.1346254829757986;1e-04;0.9406717780211756;0.2050894139389473
8;0.9589531930333817;0.12666762182259247;5e-05;0.949981745162468;0.1667204814595478
9;0.9606767053701016;0.12078242654086284;5e-05;0.9503468418913456;0.16832671648788383
